pfam,feature_importance_vals
PF11842.6,0.0
PF11843.6,0.0
PF11844.6,0.0
PF11845.6,0.0
PF11846.6,0.0
PF11847.6,0.0
PF11508.6,0.0
PF11497.6,0.0
PF11506.6,0.0
PF11159.6,0.0
PF11144.6,0.0
PF11145.6,0.0
PF11146.6,0.0
PF11148.6,0.0
PF11149.6,0.0
PF11150.6,0.0
PF11151.6,0.0
PF11152.6,0.0
PF11153.6,0.0
PF11154.6,0.0
PF11155.6,0.0
PF11157.6,0.0
PF11158.6,0.0
PF11160.6,0.0
PF11142.6,0.0
PF11161.6,0.0
PF11162.6,0.0
PF11163.6,0.0
PF11164.6,0.0
PF11165.6,0.0
PF11166.6,0.0
PF11167.6,0.0
PF11168.6,0.0
PF11169.6,0.0
PF11170.6,0.0
PF11171.6,0.0
PF11172.6,0.0
PF11173.6,0.0
PF11143.6,0.0
PF11141.6,0.0
PF11175.6,0.0
PF11125.6,0.0
PF11112.6,0.0
PF11113.6,0.0
PF11114.6,0.0
PF11115.6,0.0
PF11116.6,0.0
PF11117.6,0.0
PF11118.6,0.0
PF11119.6,0.0
PF11120.6,0.0
PF11121.6,0.0
PF11122.6,0.0
PF11123.6,0.0
PF11124.6,0.0
PF11126.6,0.0
PF11140.6,0.0
PF11127.6,0.0
PF11128.6,0.0
PF11129.6,0.0
PF11130.6,0.0
PF11131.6,0.0
PF11132.6,0.0
PF11133.6,0.0
PF11134.6,0.0
PF11135.6,0.0
PF11136.6,0.0
PF11137.6,0.0
PF11138.6,0.0
PF11139.6,0.0
PF11174.6,0.0
PF11176.6,0.0
PF11505.6,0.0
PF11225.6,0.0
PF11212.6,0.0
PF11213.6,0.0
PF11214.6,0.0
PF11215.6,0.0
PF11216.6,0.0
PF11217.6,0.0
PF11218.6,0.0
PF11219.6,0.0
PF11220.6,0.0
PF11221.6,0.0
PF11222.6,0.0
PF11223.6,0.0
PF11224.6,0.0
PF11226.6,0.0
PF11210.6,0.0
PF11227.6,0.0
PF11228.6,0.0
PF11229.6,0.0
PF11230.6,0.0
PF11231.6,0.0
PF11232.6,0.0
PF11235.6,0.0
PF11236.6,0.0
PF11237.6,0.0
PF11238.6,0.0
PF11239.6,0.0
PF11240.6,0.0
